Year,LGA_KEY,LGA_DESC,Numerator,Denominator,Indicator,,,,,,,,,,
2010,20110,Alpine (S), NDP , NDP , NDP ,,,,,,,,,,
2010,20260,Ararat (RC), 7 , 146 ,4.9%,,,,,,,,,,
2010,20570,Ballarat (C), 61 ," 1,075 ",5.7%,,,,,,,,,,
2010,20660,Banyule (C), 47 ," 1,140 ",4.2%,,,,,,,,,,
2010,20740,Bass Coast (S), 12 , 313 ,3.7%,,,,,,,,,,
2010,20830,Baw Baw (S), 46 , 676 ,6.8%,,,,,,,,,,
2010,20910,Bayside (C), 21 ," 1,018 ",2.0%,,,,,,,,,,
2010,21010,Benalla (RC), 11 , 142 ,7.4%,,,,,,,,,,
2010,21110,Boroondara (C), 23 ," 1,579 ",1.4%,,,,,,,,,,
2010,21180,Brimbank (C), 103 ," 2,115 ",4.9%,,,,,,,,,,
2010,21270,Buloke (S), NDP , NDP , NDP ,,,,,,,,,,
2010,21370,Campaspe (S), 25 , 470 ,5.4%,,,,,,,,,,
2010,21450,Cardinia (S), 56 , 883 ,6.3%,,,,,,,,,,
2010,21610,Casey (C), 169 ," 3,111 ",5.4%,,,,,,,,,,
2010,21670,Central Goldfields (S), 11 , 119 ,8.8%,,,,,,,,,,
2010,21750,Colac-Otway (S), 13 , 273 ,4.8%,,,,,,,,,,
2010,21830,Corangamite (S), 6 , 179 ,3.3%,,,,,,,,,,
2010,21890,Darebin (C), 41 ," 1,361 ",3.0%,,,,,,,,,,
2010,22110,East Gippsland (S), 19 , 443 ,4.3%,,,,,,,,,,
2010,22170,Frankston (C), 74 ," 1,387 ",5.3%,,,,,,,,,,
2010,22250,Gannawarra (S), 9 , 100 ,9.0%,,,,,,,,,,
2010,22310,Glen Eira (C), 23 ," 1,200 ",1.9%,,,,,,,,,,
2010,22410,Glenelg (S), 11 , 200 ,5.7%,,,,,,,,,,
2010,22490,Golden Plains (S), 11 , 255 ,4.5%,,,,,,,,,,
2010,22620,Greater Bendigo (C), 63 ," 1,027 ",6.2%,,,,,,,,,,
2010,22670,Greater Dandenong (C), 61 ," 1,316 ",4.7%,,,,,,,,,,
2010,22750,Greater Geelong (C), 107 ," 2,104 ",5.1%,,,,,,,,,,
2010,22830,Greater Shepparton (C), 55 , 826 ,6.6%,,,,,,,,,,
2010,22910,Hepburn (S), NDP , NDP ,3.4%,,,,,,,,,,
2010,22980,Hindmarsh (S), NDP , NDP , NDP ,,,,,,,,,,
2010,23110,Hobsons Bay (C), 27 , 733 ,3.7%,,,,,,,,,,
2010,23190,Horsham (RC), 13 , 209 ,6.1%,,,,,,,,,,
2010,23270,Hume (C), 122 ," 2,157 ",5.6%,,,,,,,,,,
2010,23350,Indigo (S), 7 , 156 ,4.5%,,,,,,,,,,
2010,23430,Kingston (C), 48 ," 1,535 ",3.1%,,,,,,,,,,
2010,23670,Knox (C), 57 ," 1,513 ",3.8%,,,,,,,,,,
2010,23810,Latrobe (C), 45 , 558 ,8.1%,,,,,,,,,,
2010,23940,Loddon (S), 11 , 179 ,6.0%,,,,,,,,,,
2010,24130,Macedon Ranges (S), 19 , 654 ,2.9%,,,,,,,,,,
2010,24210,Manningham (C), 28 ," 1,186 ",2.3%,,,,,,,,,,
2010,24250,Mansfield (S), NDP , NDP , NDP ,,,,,,,,,,
2010,24330,Maribyrnong (C), 27 , 653 ,4.2%,,,,,,,,,,
2010,24410,Maroondah (C), 38 ," 1,125 ",3.4%,,,,,,,,,,
2010,24600,Melbourne (C), 17 , 421 ,4.0%,,,,,,,,,,
2010,24650,Melton (S), 62 ," 1,241 ",5.0%,,,,,,,,,,
2010,24780,Mildura (RC), 35 , 601 ,5.8%,,,,,,,,,,
2010,24850,Mitchell (S), 17 , 341 ,5.0%,,,,,,,,,,
2010,24900,Moira (S), 20 , 339 ,6.0%,,,,,,,,,,
2010,24970,Monash (C), 45 ," 1,564 ",2.8%,,,,,,,,,,
2010,25060,Moonee Valley (C), 22 , 841 ,2.6%,,,,,,,,,,
2010,25150,Moorabool (S), 10 , 308 ,3.4%,,,,,,,,,,
2010,25250,Moreland (C), 40 ," 1,287 ",3.1%,,,,,,,,,,
2010,25340,Mornington Peninsula (S), 73 ," 1,559 ",4.7%,,,,,,,,,,
2010,25430,Mount Alexander (S), 8 , 193 ,4.3%,,,,,,,,,,
2010,25490,Moyne (S), 14 , 219 ,6.3%,,,,,,,,,,
2010,25620,Murrindindi (S), 12 , 225 ,5.1%,,,,,,,,,,
2010,25710,Nillumbik (S), 27 , 792 ,3.4%,,,,,,,,,,
2010,25810,Northern Grampians (S), 6 , 120 ,4.8%,,,,,,,,,,
2010,25900,Port Phillip (C), 7 , 504 ,1.3%,,,,,,,,,,
2010,25990,Pyrenees (S), 10 , 130 ,7.8%,,,,,,,,,,
2010,26080,Queenscliffe (B), NDP , NDP , NDP ,,,,,,,,,,
2010,26170,South Gippsland (S), 14 , 317 ,4.4%,,,,,,,,,,
2010,26260,Southern Grampians (S), 14 , 194 ,7.2%,,,,,,,,,,
2010,26350,Stonnington (C), 8 , 542 ,1.4%,,,,,,,,,,
2010,26430,Strathbogie (S), 6 , 97 ,6.2%,,,,,,,,,,
2010,26490,Surf Coast (S), 19 , 587 ,3.2%,,,,,,,,,,
2010,26610,Swan Hill (RC), 8 , 147 ,5.4%,,,,,,,,,,
2010,26670,Towong (S), NDP , NDP , NDP ,,,,,,,,,,
2010,29399,Unincoporated Vic, NDP , NDP , NDP ,,,,,,,,,,
2010,2,Unknown LGA in Victoria, NDP , NDP , NDP ,,,,,,,,,,
2010,26700,Wangaratta (RC), 19 , 326 ,5.8%,,,,,,,,,,
2010,26730,Warrnambool (C), 17 , 402 ,4.2%,,,,,,,,,,
2010,26810,Wellington (S), 37 , 599 ,6.2%,,,,,,,,,,
2010,26890,West Wimmera (S), NDP , NDP , NDP ,,,,,,,,,,
2010,26980,Whitehorse (C), 33 ," 1,725 ",1.9%,,,,,,,,,,
2010,27070,Whittlesea (C), 83 ," 1,743 ",4.8%,,,,,,,,,,
2010,27170,Wodonga (RC), 24 , 451 ,5.3%,,,,,,,,,,
2010,27260,Wyndham (C), 100 ," 1,925 ",5.2%,,,,,,,,,,
2010,27350,Yarra (C), 22 , 554 ,3.9%,,,,,,,,,,
2010,27450,Yarra Ranges (S), 81 ," 1,737 ",4.7%,,,,,,,,,,
2010,27630,Yarriambiack (S), 6 , 74 ,7.4%,,,,,,,,,,
2010,,Victoria- Female, 833 ," 27,130 ",3.1%,,,,,,,,,,
2010,,Victoria- Male," 1,607 "," 28,424 ",5.7%,,,,,,,,,,
2010,,Victoria- Aboriginal, 97 , 882 ,11.0%,,,,,,,,,,
2010,,Victoria- Non-Aboriginal," 2,330 "," 54,410 ",4.3%,,,,,,,,,,
2010,,Victoria- Lives with one parent, 638 ," 7,101 ",9.0%,,,,,,,,,,
2010,,Victoria- Lives with both parents," 1,526 "," 46,380 ",3.3%,,,,,,,,,,
2010,,Victoria- Other living arrangements, 305 ," 3,432 ",8.9%,,,,,,,,,,
2010,,Victoria," 2,469 "," 56,912 ",4.3%,,,,,,,,,,
2011,20110,Alpine (S), NDP , NDP ,3.8%,,,,,,,,,,
2011,20260,Ararat (RC), NDP , NDP , NDP ,,,,,,,,,,
2011,20570,Ballarat (C),62,1115,5.6%,,,,,,,,,,
2011,20660,Banyule (C),32,988,3.2%,,,,,,,,,,
2011,20740,Bass Coast (S),15,336,4.5%,,,,,,,,,,
2011,20830,Baw Baw (S),29,500,5.9%,,,,,,,,,,
2011,20910,Bayside (C),22,1057,2.1%,,,,,,,,,,
2011,21010,Benalla (RC),8,125,6.4%,,,,,,,,,,
2011,21110,Boroondara (C),21,1547,1.3%,,,,,,,,,,
2011,21180,Brimbank (C),93,2031,4.6%,,,,,,,,,,
2011,21270,Buloke (S),8,75,10.4%,,,,,,,,,,
2011,21370,Campaspe (S),34,459,7.4%,,,,,,,,,,
2011,21450,Cardinia (S),55,1046,5.3%,,,,,,,,,,
2011,21610,Casey (C),147,3581,4.1%,,,,,,,,,,
2011,21670,Central Goldfields (S),6,126,4.5%,,,,,,,,,,
2011,21750,Colac-Otway (S),10,240,4.3%,,,,,,,,,,
2011,21830,Corangamite (S),10,219,4.7%,,,,,,,,,,
2011,21890,Darebin (C),43,1322,3.2%,,,,,,,,,,
2011,22110,East Gippsland (S),25,477,5.2%,,,,,,,,,,
2011,22170,Frankston (C),70,1357,5.2%,,,,,,,,,,
2011,22250,Gannawarra (S), NDP , NDP , NDP ,,,,,,,,,,
2011,22310,Glen Eira (C),31,1294,2.4%,,,,,,,,,,
2011,22410,Glenelg (S),7,184,3.9%,,,,,,,,,,
2011,22490,Golden Plains (S),13,260,5.0%,,,,,,,,,,
2011,22620,Greater Bendigo (C),54,1180,4.6%,,,,,,,,,,
2011,22670,Greater Dandenong (C),81,1463,5.5%,,,,,,,,,,
2011,22750,Greater Geelong (C),109,2403,4.5%,,,,,,,,,,
2011,22830,Greater Shepparton (C),41,795,5.2%,,,,,,,,,,
2011,22910,Hepburn (S),6,147,3.9%,,,,,,,,,,
2011,22980,Hindmarsh (S), NDP , NDP , NDP ,,,,,,,,,,
2011,23110,Hobsons Bay (C),33,892,3.7%,,,,,,,,,,
2011,23190,Horsham (RC),13,247,5.2%,,,,,,,,,,
2011,23270,Hume (C),123,2262,5.4%,,,,,,,,,,
2011,23350,Indigo (S), NDP , NDP ,3.5%,,,,,,,,,,
2011,23430,Kingston (C),39,1537,2.5%,,,,,,,,,,
2011,23670,Knox (C),56,1596,3.5%,,,,,,,,,,
2011,23810,Latrobe (C),74,879,8.4%,,,,,,,,,,
2011,23940,Loddon (S), NDP , NDP ,6.2%,,,,,,,,,,
2011,24130,Macedon Ranges (S),19,617,3.1%,,,,,,,,,,
2011,24210,Manningham (C),34,1142,3.0%,,,,,,,,,,
2011,24250,Mansfield (S), NDP , NDP , NDP ,,,,,,,,,,
2011,24330,Maribyrnong (C),22,704,3.1%,,,,,,,,,,
2011,24410,Maroondah (C),35,1123,3.1%,,,,,,,,,,
2011,24600,Melbourne (C),8,334,2.4%,,,,,,,,,,
2011,24650,Melton (S),80,1446,5.6%,,,,,,,,,,
2011,24780,Mildura (RC),38,620,6.1%,,,,,,,,,,
2011,24850,Mitchell (S),14,386,3.7%,,,,,,,,,,
2011,24900,Moira (S),18,310,5.8%,,,,,,,,,,
2011,24970,Monash (C),49,1504,3.2%,,,,,,,,,,
2011,25060,Moonee Valley (C),19,1087,1.7%,,,,,,,,,,
2011,25150,Moorabool (S),19,371,5.2%,,,,,,,,,,
2011,25250,Moreland (C),39,1438,2.7%,,,,,,,,,,
2011,25340,Mornington Peninsula (S),68,1666,4.1%,,,,,,,,,,
